Age,Model,Trial,,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16
J,K,1,13,285.18528,479.92736,322.3248,415.64032,328.54784,323.6736,271.11072,320.22208,221.5392,250.12128,215.99904,271.66048,244.98624,225.92128,256.73376,277.25024
J,K,1,14,8.6576,194.54272,95.5408,175.16736,90.3792,122.76288,148.90144,132.69984,92.75456,143.16992,96.28096,165.49952,153.9168,156.90624,143.13184,183.66688
J,K,1,15,-39.36768,-74.42336,-42.02752,-60.20864,-128.23616,-161.09472,-13.3408,-124.1696,-244.25344,-69.29312,-141.14656,-49.48704,-92.19488,-69.2336,-125.73728,5.88864
J,K,1,16,108.15008,32.63744,111.16704,60.46592,71.70272,67.7072,116.17632,59.05792,88.944,96.44128,121.9248,111.96128,87.32384,85.00608,169.89152,114.64896
J,K,1,17,132.73408,97.45408,123.01504,132.23744,75.8384,77.3088,144.29024,137.68096,118.80352,114.63904,137.05248,126.76416,103.70528,139.19264,175.05344,157.86784
J,K,1,18,173.24224,259.79328,168.63328,259.66048,181.68832,207.648,199.25888,187.73792,149.83584,142.18688,162.78816,107.1152,111.84704,139.25056,124.6832,132.01152
J,K,1,19,237.736,295.16064,264.09952,268.80928,257.3392,244.98784,312.26624,240.6976,245.52928,206.69056,232.16128,255.50112,203.9168,273.15008,236.83648,220.3824
J,K,1,20,269.11008,119.72448,233.18112,182.75296,179.8896,111.6032,154.79328,124.61152,127.70848,149.1168,111.4256,133.60384,110.88352,127.2688,127.992,116.20576
J,K,1,21,230.64992,187.4624,225.3472,204.23488,186.94048,148.07392,282.05728,185.27488,175.46656,192.8384,214.5792,155.54528,199.57408,189.48,280.4288,189.26976
J,K,1,22,-46.13088,158.33696,35.16928,90.28832,50.81088,101.22848,97.28544,137.59968,72.47008,221.49888,156.02336,159.91392,129.264,150.9728,224.82048,262.63424
J,K,1,23,-8.87232,66.43168,47.16992,75.9344,68.04352,88.58464,65.89152,59.52928,-43.85376,70.23328,15.86944,54.3728,24.42528,110.5392,90.48352,99.18912
J,K,1,24,-311.46112,-201.42944,-229.56768,-326.08288,-296.1616,-405.1664,-276.45056,-392.0768,-580.38464,-395.07648,-564.0752,-457.18272,-623.7072,-530.43968,-488.28672,-529.95776
